dataset,k,metric,threshold,bow,classifier,acc
abstract,10,eucl,0.1,tfidf,rfc,0.7116666666666667
abstract,10,eucl,0.1,tfidf,xgc,0.7316666666666667
abstract,10,eucl,0.1,tfidf,nnc,0.7466666666666667
abstract,10,eucl,0.1,count,rfc,0.69
abstract,10,eucl,0.1,count,xgc,0.7116666666666667
abstract,10,eucl,0.1,count,nnc,0.375
abstract,10,eucl,0.1,bm25,rfc,0.68
abstract,10,eucl,0.1,bm25,xgc,0.725
abstract,10,eucl,0.1,bm25,nnc,0.7383333333333333
abstract,10,sil,0.1,tfidf,rfc,0.6483333333333333
abstract,10,sil,0.1,tfidf,xgc,0.71
abstract,10,sil,0.1,tfidf,nnc,0.7133333333333334
abstract,10,sil,0.1,count,rfc,0.6883333333333334
abstract,10,sil,0.1,count,xgc,0.6916666666666667
abstract,10,sil,0.1,count,nnc,0.3933333333333333
abstract,10,sil,0.1,bm25,rfc,0.6916666666666667
abstract,10,sil,0.1,bm25,xgc,0.7216666666666667
abstract,10,sil,0.1,bm25,nnc,0.7366666666666667
abstract,10,eucl,0.2,tfidf,rfc,0.66
abstract,10,eucl,0.2,tfidf,xgc,0.7066666666666667
abstract,10,eucl,0.2,tfidf,nnc,0.7233333333333334
abstract,10,eucl,0.2,count,rfc,0.695
abstract,10,eucl,0.2,count,xgc,0.715
abstract,10,eucl,0.2,count,nnc,0.2783333333333333
abstract,10,eucl,0.2,bm25,rfc,0.665
abstract,10,eucl,0.2,bm25,xgc,0.71
abstract,10,eucl,0.2,bm25,nnc,0.6583333333333333
abstract,10,sil,0.2,tfidf,rfc,0.6566666666666666
abstract,10,sil,0.2,tfidf,xgc,0.6983333333333334
abstract,10,sil,0.2,tfidf,nnc,0.7283333333333334
abstract,10,sil,0.2,count,rfc,0.665
abstract,10,sil,0.2,count,xgc,0.7
abstract,10,sil,0.2,count,nnc,0.25833333333333336
abstract,10,sil,0.2,bm25,rfc,0.67
abstract,10,sil,0.2,bm25,xgc,0.7
abstract,10,sil,0.2,bm25,nnc,0.7233333333333334
abstract,10,eucl,0.3,tfidf,rfc,0.6583333333333333
abstract,10,eucl,0.3,tfidf,xgc,0.695
abstract,10,eucl,0.3,tfidf,nnc,0.7066666666666667
abstract,10,eucl,0.3,count,rfc,0.6983333333333334
abstract,10,eucl,0.3,count,xgc,0.7283333333333334
abstract,10,eucl,0.3,count,nnc,0.2783333333333333
